,Price,Prediction,Signal,Expected_Return,Signal_Strength,Regime,Volatility,SMA_50,SMA_200
60,141.5,142.99129108771683,0,0.010539159630507644,0.010539159630507644,sideways,0.013332456317768767,148.03879999999998,134.93505
61,142.65,141.69917824551464,0,-0.00666541713624508,0.00666541713624508,sideways,0.013361879572793521,147.9558,135.0089
62,139.14,142.4622252701223,1,0.023876852595388222,0.023876852595388222,sideways,0.014010050007113162,147.7674,135.06555
63,141.11,139.49658083602787,0,-0.011433769144441493,0.011433769144441493,sideways,0.013910093645952968,147.6098,135.1276
64,142.0,140.92847624108197,0,-0.007545941964211502,0.007545941964211502,sideways,0.014084639720833906,147.5144,135.2043
65,143.29,141.53837981507183,0,-0.012224301660465888,0.012224301660465888,sideways,0.014382728638339273,147.4806,135.2796
66,142.9,142.4398060707748,0,-0.003220391387160241,0.003220391387160241,sideways,0.012586264561149502,147.4258,135.3347
67,142.81,142.22369176208974,0,-0.004105512484491697,0.004105512484491697,sideways,0.012515191285183481,147.3648,135.39395000000002
68,141.51,142.23079003825785,0,0.00509356256277196,0.00509356256277196,sideways,0.012501447910245593,147.28459999999998,135.44164999999998
69,140.91,141.1468319824338,0,0.0016807322577092683,0.0016807322577092683,sideways,0.012351179531724021,147.15560000000002,135.46275
70,143.76,140.64217098116876,0,-0.021687736636277342,0.021687736636277342,sideways,0.013377337038888347,147.0918,135.5072
71,144.84,143.23012182921173,0,-0.011114872761587116,0.011114872761587116,sideways,0.012918580718487387,147.0474,135.5628
72,146.55,144.2711844673753,0,-0.015549747749059836,0.015549747749059836,sideways,0.0121861056510515,147.0556,135.6321
73,148.76,145.99540898263456,0,-0.018584236470593124,0.018584236470593124,sideways,0.012564911219167226,147.109,135.72885
74,149.26,148.11535599887372,0,-0.007668792718251821,0.007668792718251821,sideways,0.01207113601551556,147.18220000000002,135.8201
75,149.48,148.55014155492188,0,-0.0062206211204048085,0.0062206211204048085,sideways,0.012002284072475677,147.2546,135.9345
76,148.69,148.81877969637515,0,0.000866095207311504,0.000866095207311504,sideways,0.01208353109393405,147.2506,136.02335
77,148.64,148.3955594456196,0,-0.001644513955734591,0.001644513955734591,sideways,0.011796879528283375,147.2414,136.1063
78,149.32,148.45515719115735,0,-0.005791875226645048,0.005791875226645048,sideways,0.010237702076695573,147.2054,136.208
79,148.85,149.06300936698915,0,0.0014310337049993622,0.0014310337049993622,sideways,0.01027178836469302,147.17860000000002,136.30825000000002
80,152.57,148.69428882062437,0,-0.02540283921724866,0.02540283921724866,sideways,0.011094117351588622,147.3028,136.41665
81,149.8,151.3285337804258,0,0.010203830309918486,0.010203830309918486,sideways,0.01207206522836203,147.3648,136.52110000000002
82,148.96,149.15555130004884,0,0.0013127772559669293,0.0013127772559669293,sideways,0.01046613525541797,147.3802,136.6302
83,150.02,148.8513231059909,0,-0.007790140607979668,0.007790140607979668,sideways,0.01020267216038989,147.3864,136.74115
84,151.49,149.95045225009324,0,-0.010162702157942925,0.010162702157942925,sideways,0.010289662288837197,147.4238,136.83845000000002
85,150.96,150.8566988041997,0,-0.0006842951497105109,0.0006842951497105109,sideways,0.01030139493850425,147.4758,136.9089
86,151.28,150.388037160635,0,-0.005896105495538029,0.005896105495538029,sideways,0.010224853701560857,147.5506,136.96994999999998
87,150.44,150.72433245986701,0,0.0018900057156807798,0.0018900057156807798,sideways,0.010372556478332113,147.5874,137.00755
88,150.81,150.14347492963077,0,-0.004419634443135284,0.004419634443135284,sideways,0.009998084059625602,147.5412,137.04579999999999
89,147.92,150.49501440733673,0,0.017408155809469566,0.017408155809469566,sideways,0.011083262485911136,147.463,137.0751
90,147.87,148.06369706675412,0,0.0013099145651863922,0.0013099145651863922,sideways,0.010275626012215934,147.3702,137.129
91,149.99,148.0621694816649,0,-0.012853060326255746,0.012853060326255746,sideways,0.010595500404962347,147.297,137.21915
92,150.0,149.8307439094782,0,-0.001128373936811992,0.001128373936811992,sideways,0.010334050023192962,147.21099999999998,137.29845
93,151.0,149.51867557376625,0,-0.009810095537971885,0.009810095537971885,sideways,0.009902134296218664,147.0972,137.3785
94,153.49,150.3989349088073,0,-0.0201385438216999,0.0201385438216999,sideways,0.010498494215736641,147.06480000000002,137.47625
95,157.87,152.40263775516303,0,-0.03463205323897496,0.03463205323897496,bull,0.012120356306904143,147.1408,137.57865
96,160.55,156.86281718629414,0,-0.02296594714235985,0.02296594714235985,bull,0.01235827184982508,147.37240000000003,137.6976
97,161.02,159.2666059421748,0,-0.010889293614614359,0.010889293614614359,bull,0.012320648667798651,147.6018,137.81815
98,161.41,159.6328429445997,0,-0.011010204171986214,0.011010204171986214,sideways,0.012325499598383924,147.8676,137.94515
99,161.94,160.19749851025642,0,-0.010760167282595866,0.010760167282595866,bull,0.01221335616515907,148.1258,138.0779
100,156.81,161.0479251683131,1,0.027025860393553328,0.027025860393553328,sideways,0.013648169292772395,148.28619999999998,138.18630000000002
101,160.24,155.2472366026044,0,-0.031158034182448863,0.031158034182448863,sideways,0.013554922757118866,148.5698,138.31065
102,165.3,159.25600025024266,0,-0.036563821837612503,0.036563821837612503,bull,0.014743596835029956,149.017,138.47119999999998
103,164.77,164.39105640411378,0,-0.002299833682625642,0.002299833682625642,sideways,0.014857683209936497,149.4438,138.64085
104,163.76,164.07120396256448,0,0.0019003661612389542,0.0019003661612389542,sideways,0.0150021163632656,149.80200000000002,138.8111
105,161.84,163.3003777047992,0,0.009023589377157597,0.009023589377157597,sideways,0.015327980249969921,150.10219999999998,138.97095000000002
