Day,Portfolio_Value
972,101961.85849000001
973,101961.85849000001
974,101961.85849000001
975,101961.85849000001
976,101961.85849000001
977,101961.85849000001
978,101961.85849000001
979,101961.85849000001
980,101961.85849000001
981,101961.85849000001
982,101961.85849000001
983,101961.85849000001
984,101961.85849000001
985,101961.85849000001
986,101961.85849000001
987,101961.85849000001
988,101961.85849000001
989,101961.85849000001
990,101961.85849000001
991,101961.85849000001
992,101961.85849000001
993,101961.85849000001
994,101961.85849000001
995,101961.85849000001
996,101961.85849000001
