,Price,Prediction,Signal,Expected_Return,Signal_Strength,Regime,Volatility,SMA_50,SMA_200
60,281.92,282.6760827225447,0,0.0026819052303657213,0.0026819052303657213,sideways,0.012150667898192743,294.36600000000004,257.21274999999997
61,289.1,281.1024720822275,-1,-0.027663534824533084,0.027663534824533084,sideways,0.013755738049541073,294.4252,257.5876
62,283.11,285.93607676371937,0,0.00998225694507208,0.00998225694507208,sideways,0.014368164368974734,294.294,257.90675000000005
63,288.76,283.0251463916898,0,-0.019860277075461195,0.019860277075461195,sideways,0.015255507738901926,294.2882,258.25345
64,293.11,286.11700039178135,0,-0.023857935956530543,0.023857935956530543,sideways,0.01571501227616491,294.4196,258.62605
65,294.85,289.0388685573638,0,-0.01970877206252747,0.01970877206252747,sideways,0.015647230436758863,294.5922,258.98735
66,294.85,289.8829081487656,0,-0.016846165342494293,0.016846165342494293,sideways,0.015604798819668938,294.75919999999996,259.3419
67,294.23,289.7851397973299,0,-0.015106753909085066,0.015106753909085066,sideways,0.015576509781068252,294.9456,259.70795
68,292.88,289.1978481148184,0,-0.01257222031269329,0.01257222031269329,sideways,0.015427988453024719,295.1068,260.0586
69,296.31,288.5736112137139,0,-0.02610910460762753,0.02610910460762753,bull,0.015159036049535383,295.2906,260.41535
70,302.75,291.2895429675281,0,-0.03785452364152561,0.03785452364152561,bull,0.016008591210510178,295.61539999999997,260.80835
71,304.21,298.19160702794795,0,-0.01978367894563633,0.01978367894563633,bull,0.01551392014600576,295.9092,261.221
72,307.29,300.6037035737932,0,-0.021758913164134232,0.021758913164134232,bull,0.014940953024595572,296.26579999999996,261.64535
73,308.23,304.500520805344,0,-0.012099663221153014,0.012099663221153014,bull,0.014941319052290887,296.66380000000004,262.09805
74,307.41,305.7838005319983,0,-0.005290001847700933,0.005290001847700933,bull,0.014769548237557216,297.0832,262.54560000000004
75,310.76,304.0955501404405,0,-0.021445648923798143,0.021445648923798143,bull,0.01491367719905335,297.55940000000004,263.03815000000003
76,309.16,307.15184163644915,0,-0.00649553099867666,0.00649553099867666,bull,0.014988155381969388,297.9464,263.4925
77,308.13,305.72318774133925,0,-0.0078110286523894144,0.0078110286523894144,bull,0.014367482729883516,298.252,263.93505
78,310.11,304.2168262691051,0,-0.019003494666069737,0.019003494666069737,bull,0.011134388791243201,298.5622,264.39815
79,323.17,307.002418788597,0,-0.05002810041588943,0.05002810041588943,bull,0.01391070768724772,299.164,264.93935
80,324.35,320.55170512467623,0,-0.011710482119080594,0.011710482119080594,bull,0.013545359799193376,299.8364,265.4794
81,331.62,322.98913567446175,0,-0.02602636851076007,0.02602636851076007,bull,0.013343336499340785,300.53340000000003,266.0724
82,329.37,326.799274805449,0,-0.007804976757297315,0.007804976757297315,bull,0.0121301790671966,301.0336,266.656
83,333.13,326.7382951388881,0,-0.01918681854264677,0.01918681854264677,bull,0.011821054052627074,301.6032,267.23945000000003
84,334.0,328.171676026173,0,-0.017450071777925225,0.017450071777925225,bull,0.011714586059359563,302.2308,267.78775
85,336.44,329.1806646535918,0,-0.021576909245060612,0.021576909245060612,bull,0.011714411199678195,302.9194,268.3451
86,336.06,330.61057571012526,0,-0.01621562902420622,0.01621562902420622,bull,0.011750992791127752,303.6588,268.89565000000005
87,336.99,331.1114395829663,0,-0.017444317092595404,0.017444317092595404,bull,0.011610187175241326,304.4042,269.43295
88,335.95,331.9882664660737,0,-0.011792628468302702,0.011792628468302702,bull,0.011536786474679263,305.0514,269.95105
89,330.8,331.93044682394714,0,0.003417312043370994,0.003417312043370994,bull,0.012493723416150805,305.6298,270.44055000000003
90,332.43,328.94072781380265,0,-0.010496261427059393,0.010496261427059393,bull,0.011902184832562083,306.2418,270.90805
91,336.72,328.62353832300755,0,-0.024045086947589913,0.024045086947589913,bull,0.01204106352721492,306.95320000000004,271.43185
92,336.07,330.3071823837981,0,-0.01714767047401409,0.01714767047401409,bull,0.012080987356619149,307.6518,271.91395
93,339.51,330.41337746705864,0,-0.02679338615340153,0.02679338615340153,bull,0.012140665986750858,308.4384,272.41395
94,339.12,331.96813068602233,0,-0.02108949432052863,0.02108949432052863,bull,0.012095655141847607,309.21659999999997,272.89455000000004
95,341.27,332.1340596883372,0,-0.026770417299096926,0.026770417299096926,bull,0.012021186364453878,310.097,273.39085
96,343.11,332.83243976335973,0,-0.029954126188803252,0.029954126188803252,bull,0.011792741663831359,311.045,273.8954
97,339.83,334.11372776150705,0,-0.0168209758952798,0.0168209758952798,bull,0.012110291030256787,311.9018,274.3822
98,337.68,332.2817362068966,0,-0.015986329640794272,0.015986329640794272,bull,0.012363065214675093,312.6596,274.85175
99,337.91,330.45652533423157,0,-0.022057573512972252,0.022057573512972252,bull,0.00859824582527493,313.32140000000004,275.3272
100,329.68,330.11245280791076,0,0.0013117350397681068,0.0013117350397681068,bull,0.010443644378971575,313.81059999999997,275.75315
101,336.63,325.72238967780027,0,-0.032402371512342126,0.032402371512342126,bull,0.010302192267035815,314.54580000000004,276.21135000000004
102,330.59,327.7877461018786,0,-0.008476523482626105,0.008476523482626105,bull,0.01101221465898702,315.2716,276.6458
103,330.08,325.58915339473634,0,-0.01360532781526794,0.01360532781526794,bull,0.010696931815165563,315.97720000000004,277.0752
104,329.49,324.4563938825205,0,-0.015276961721082605,0.015276961721082605,bull,0.010676842051409816,316.5954,277.5037
105,323.01,324.1508971343562,0,0.0035320799181332995,0.0035320799181332995,bull,0.011307230346175898,317.06440000000003,277.9139
106,326.19,320.8114173908532,0,-0.016489109442799608,0.016489109442799608,bull,0.011612522385585433,317.6012,278.3723
