Set,Accuracy,Total_Return,Sharpe_Ratio,Max_Drawdown,Win_Rate,Profit_Factor
Train,60.541586073500966,-100.0,2.3534857950859798,-6945.801564723833,59.96131528046421,1.4916030369528939
Validation,52.54237288135594,-100.07791755775585,1.6384566897842578,-117.90668308469927,52.54237288135594,1.3773501147989622
Test,49.152542372881356,-100.00001687975669,-1.292981547099891,-100.01016521818345,47.45762711864407,0.8088699330315384
