Set,RMSE,MAE,Direction_Accuracy,R2,Sharpe_Ratio
Train,9.389831212608874,6.904543456525103,51.59642401021711,0.9722624625191456,0.0803604002179418
Validation,13.997893674711824,9.249237538475173,49.44444444444444,0.9648661057909307,2.209741333079686
Test,15.374887262667896,12.254349652600604,50.27624309392266,0.9111622449980361,0.3037076779919736
