Set,RMSE,MAE,Direction_Accuracy,R2,Sharpe_Ratio
Train,7.127515734362691,5.803889201237068,50.57471264367817,0.9798038718583693,1.0424863612558468
Validation,12.525402954040857,10.100746007179673,52.77777777777778,0.3812480688505664,0.4420751379109648
Test,41.340878298916536,31.744329959937673,50.82872928176796,0.3421907185364219,0.5659356588999664
