Set,RMSE,MAE,Direction_Accuracy,R2,Sharpe_Ratio
Train,1.7692645283829065,1.3533718869179892,52.23499361430396,0.9903100144984996,2.8202379122608257
Validation,31.91130378315592,28.19355488113232,49.162011173184354,-2.0326761214054834,1.0976607538285832
Test,53.291159899183214,47.813041436528124,49.72375690607735,-3.4090391977061865,0.6728332662410095
