Set,RMSE,MAE,Direction_Accuracy,R2,Sharpe_Ratio
Train,3.196125542844976,2.5414553340115744,50.191570881226056,0.9743594475807011,0.549913930911645
Validation,16.484883796061055,14.155219352184396,53.888888888888886,0.44636976757571256,2.6768172207331005
Test,17.05344443685962,15.30472503825038,46.96132596685083,-0.059071118196905026,-0.01485142048745795
