Set,Accuracy,Total_Return,Sharpe_Ratio,Max_Drawdown,Win_Rate,Profit_Factor
Train,57.48792270531401,-100.0,1.4131432420167982,-1869.944232558501,54.39613526570049,1.2719588085298077
Validation,47.45762711864407,-134.7087834992416,1.7395211165252493,-236.67578393363416,47.45762711864407,1.4389306508568112
Test,52.54237288135594,-99.81573021704556,-1.2342888974025918,-103.545400807258,52.54237288135594,0.801146075845588
