symbol,date,open,high,low,close,volume,change,changePercent,vwap
TSLA,2025-02-12,329.94,346.4,329.12,336.51,105382729,6.57,1.99,335.4925
TSLA,2025-02-13,345.0,358.69,342.85,355.94,89441519,10.94,3.17,350.62
TSLA,2025-02-14,360.62,362.0,347.5,355.84,68277300,-4.78,-1.33,356.49
TSLA,2025-02-18,355.01,359.1,350.02,354.11,51631702,-0.9,-0.25351,354.56
TSLA,2025-02-19,354.0,367.34,353.67,360.56,67094400,6.56,1.85,358.8925
TSLA,2025-02-20,361.51,362.3,348.0,354.4,45965400,-7.11,-1.97,356.5525
TSLA,2025-02-21,353.44,354.98,334.42,337.8,74058648,-15.64,-4.43,345.16
TSLA,2025-02-24,338.14,342.4,324.7,330.53,76052321,-7.61,-2.25,333.9425
TSLA,2025-02-25,327.02,328.89,297.25,302.8,134228800,-24.22,-7.41,313.99
TSLA,2025-02-26,303.71,309.0,288.04,290.8,100118300,-12.91,-4.25,297.8875
TSLA,2025-02-27,291.16,297.23,280.88,281.95,101748200,-9.21,-3.16,287.805
TSLA,2025-02-28,279.5,293.88,273.6,292.98,115697000,13.48,4.82,284.99
TSLA,2025-03-03,300.34,303.94,277.3,284.65,115551414,-15.69,-5.22,291.5575
TSLA,2025-03-04,270.93,284.35,261.84,272.04,126706623,1.11,0.4097,272.29
TSLA,2025-03-05,272.92,279.55,267.71,279.1,94042913,6.18,2.26,274.82
TSLA,2025-03-06,272.06,272.65,260.02,263.45,98451600,-8.61,-3.16,267.045
TSLA,2025-03-07,259.32,266.25,250.73,262.67,102369640,3.35,1.29,259.7425
TSLA,2025-03-10,252.54,253.37,220.0,222.15,189076948,-30.38,-12.03,237.015
TSLA,2025-03-11,225.31,237.06,217.02,230.58,174896415,5.28,2.34,227.4925
TSLA,2025-03-12,247.22,251.84,241.1,248.09,142215700,0.87,0.35191,247.0625
TSLA,2025-03-13,248.13,248.29,232.6,240.68,114813525,-7.44,-3.0,242.425
TSLA,2025-03-14,247.31,251.58,240.73,249.98,100242300,2.67,1.08,247.4
TSLA,2025-03-17,245.06,245.4,232.8,238.01,111900600,-7.05,-2.88,240.3175
TSLA,2025-03-18,228.16,230.1,222.28,225.31,111477636,-2.84,-1.25,226.4625
TSLA,2025-03-19,231.61,241.41,229.2,235.86,111993800,4.25,1.83,234.52
TSLA,2025-03-20,233.35,238.0,230.05,236.26,99028300,2.91,1.25,234.415
TSLA,2025-03-21,234.99,249.52,234.55,248.71,132728700,13.72,5.84,241.9425
TSLA,2025-03-24,258.08,278.64,256.33,278.39,169079900,20.31,7.87,267.86
TSLA,2025-03-25,283.6,288.2,271.28,288.14,150361538,4.54,1.6,282.805
TSLA,2025-03-26,282.66,284.9,266.51,272.06,156254441,-10.6,-3.75,276.5325
TSLA,2025-03-27,272.48,291.85,271.82,273.13,162572146,0.65,0.23855,277.32
TSLA,2025-03-28,275.58,276.1,260.57,263.55,123809400,-12.02,-4.37,268.95
TSLA,2025-03-31,249.31,260.56,243.36,259.16,134008936,9.85,3.95,253.0975
TSLA,2025-04-01,263.8,277.45,259.25,268.46,146486911,4.66,1.77,267.24
TSLA,2025-04-02,254.6,284.99,251.27,282.76,212787817,28.16,11.06,268.405
TSLA,2025-04-03,265.29,276.3,261.51,267.28,136174300,1.99,0.75012,267.595
TSLA,2025-04-04,255.38,261.0,236.0,239.43,181229400,-15.95,-6.25,247.9525
TSLA,2025-04-07,223.78,252.0,214.25,233.29,183453800,9.51,4.25,230.83
TSLA,2025-04-08,245.0,250.44,217.8,221.86,171603500,-23.14,-9.44,233.775
TSLA,2025-04-09,224.69,274.69,223.88,272.2,219433400,47.51,21.14,248.865
TSLA,2025-04-10,260.0,262.49,239.33,252.4,181722604,-7.6,-2.92,253.555
TSLA,2025-04-11,251.84,257.74,241.36,252.31,128948100,0.47,0.18663,250.8125
TSLA,2025-04-14,258.36,261.8,245.93,252.35,100135241,-6.01,-2.33,254.61
TSLA,2025-04-15,249.91,258.75,247.54,254.11,79594318,4.2,1.68,252.5775
TSLA,2025-04-16,247.61,251.97,233.89,241.55,112378737,-6.06,-2.45,243.755
TSLA,2025-04-17,243.47,244.34,237.68,241.37,83404800,-2.1,-0.86253,241.715
TSLA,2025-04-21,230.26,232.21,222.79,227.5,97768007,-2.76,-1.2,228.19
TSLA,2025-04-22,230.96,242.79,229.85,237.97,120858500,7.01,3.04,235.3925
TSLA,2025-04-23,254.86,259.45,244.43,250.74,150381903,-4.12,-1.62,252.37
TSLA,2025-04-24,250.5,259.54,249.2,259.51,94464200,9.01,3.6,254.6875
TSLA,2025-04-25,261.69,286.85,259.63,284.95,167560700,23.26,8.89,273.28
TSLA,2025-04-28,288.98,294.86,272.42,285.88,151731800,-3.1,-1.07,285.535
TSLA,2025-04-29,285.5,293.32,279.47,292.03,108906600,6.53,2.29,287.58
TSLA,2025-04-30,279.9,284.45,270.78,282.16,128961100,2.26,0.80743,279.3225
TSLA,2025-05-01,280.01,290.87,279.81,280.52,99659000,0.51,0.18214,282.8025
TSLA,2025-05-02,284.9,294.78,279.81,287.21,114454700,2.31,0.81081,286.675
TSLA,2025-05-05,284.57,284.85,274.4,280.26,94618900,-4.31,-1.51,281.02
TSLA,2025-05-06,273.11,277.73,271.35,275.35,76715800,2.25,0.82018,274.385
TSLA,2025-05-07,276.88,277.92,271.0,276.22,71882408,-0.66,-0.23837,275.505
TSLA,2025-05-08,279.63,289.8,279.41,284.82,97539448,5.19,1.86,283.415
TSLA,2025-05-09,290.21,307.04,290.0,298.26,132387835,8.05,2.77,296.3775
TSLA,2025-05-12,321.99,322.21,311.5,318.38,112826700,-3.61,-1.12,318.52
TSLA,2025-05-13,320.0,337.59,316.8,334.07,136992600,14.07,4.4,327.115
TSLA,2025-05-14,342.5,350.0,337.0,347.68,136997300,5.18,1.51,344.295
TSLA,2025-05-15,340.34,346.14,334.72,342.82,97882600,2.48,0.72868,341.005
TSLA,2025-05-16,346.24,351.62,342.33,349.98,95895700,3.74,1.08,347.5425
TSLA,2025-05-19,336.3,343.0,333.37,342.09,88869900,5.79,1.72,338.69
TSLA,2025-05-20,347.87,354.99,341.63,343.82,131715548,-4.05,-1.16,347.0775
TSLA,2025-05-21,344.43,347.35,332.2,334.62,102354844,-9.81,-2.85,339.65
TSLA,2025-05-22,331.9,347.27,331.39,341.04,97113416,9.14,2.75,337.9
TSLA,2025-05-23,337.92,343.18,333.21,339.34,84654818,1.42,0.42022,338.4125
TSLA,2025-05-27,347.35,363.79,347.32,362.89,120146414,15.54,4.47,355.3375
TSLA,2025-05-28,364.84,365.0,355.91,356.9,91404309,-7.94,-2.18,360.6625
TSLA,2025-05-29,365.29,367.71,356.0,358.43,88545700,-6.86,-1.88,361.8575
TSLA,2025-05-30,355.52,363.68,345.29,346.46,123474938,-9.06,-2.55,352.7375
TSLA,2025-06-02,343.5,348.02,333.33,342.69,81873829,-0.81,-0.23581,341.885
TSLA,2025-06-03,346.6,355.4,343.04,344.27,99324544,-2.33,-0.67224,347.3275
TSLA,2025-06-04,345.1,345.6,327.33,332.05,98912100,-13.05,-3.78,337.52
TSLA,2025-06-05,322.49,324.55,273.21,284.7,292818700,-37.79,-11.72,301.2375
TSLA,2025-06-06,298.83,305.5,291.14,295.14,164747700,-3.69,-1.23,297.6525
TSLA,2025-06-09,285.96,309.83,281.85,308.58,140908900,22.63,7.91,296.555
TSLA,2025-06-10,314.94,327.83,310.67,326.09,151256520,11.15,3.54,319.8825
TSLA,2025-06-11,334.4,335.5,322.5,326.43,122611400,-7.96,-2.38,329.7075
TSLA,2025-06-12,323.08,332.56,316.86,319.11,105127536,-3.96,-1.23,322.9025
TSLA,2025-06-13,313.97,332.99,313.3,325.31,128964300,11.34,3.61,321.3925
TSLA,2025-06-16,331.29,332.05,326.41,329.13,83925900,-2.16,-0.652,329.72
TSLA,2025-06-17,326.09,327.26,314.74,316.35,88282700,-9.74,-2.99,321.11
TSLA,2025-06-18,317.31,329.32,315.45,322.05,95137700,4.74,1.49,321.0325
TSLA,2025-06-20,327.95,332.36,317.78,322.16,108688008,-5.79,-1.77,325.0625
TSLA,2025-06-23,327.54,357.54,327.48,348.68,190716815,21.14,6.45,340.31
TSLA,2025-06-24,356.17,356.26,340.44,340.47,114736245,-15.7,-4.41,348.335
TSLA,2025-06-25,342.7,343.0,320.4,327.55,119845100,-15.15,-4.42,333.4125
TSLA,2025-06-26,324.61,331.05,323.61,325.78,80440907,1.17,0.36043,326.2625
TSLA,2025-06-27,324.51,329.34,317.5,323.63,89067049,-0.88,-0.27118,323.745
TSLA,2025-06-30,319.9,325.58,316.6,317.66,76695100,-2.24,-0.70022,319.935
TSLA,2025-07-01,298.46,305.89,293.21,300.71,145085700,2.25,0.75387,299.5675
TSLA,2025-07-02,312.63,316.83,303.82,315.65,119483730,3.02,0.966,312.2325
TSLA,2025-07-03,317.99,318.45,312.76,315.35,58042302,-2.64,-0.83021,316.1375
TSLA,2025-07-07,291.37,296.15,288.77,293.94,131177949,2.57,0.88204,292.5575
TSLA,2025-07-08,297.0,304.05,294.35,297.81,103246742,0.81,0.27273,298.3025
TSLA,2025-07-09,297.55,300.15,293.55,295.88,75586800,-1.67,-0.56125,296.7825
TSLA,2025-07-10,300.05,310.48,300.0,309.87,104365300,9.82,3.27,305.1
TSLA,2025-07-11,307.89,314.09,305.65,313.51,79236442,5.62,1.83,310.285
TSLA,2025-07-14,317.73,322.6,312.67,316.9,78043430,-0.83,-0.26123,317.475
TSLA,2025-07-15,319.68,321.2,310.5,310.78,77556346,-8.9,-2.78,315.54
TSLA,2025-07-16,312.8,323.5,312.62,321.67,97284800,8.87,2.84,317.6475
TSLA,2025-07-17,323.15,324.34,317.06,319.41,73922900,-3.74,-1.16,320.99
TSLA,2025-07-18,321.66,330.9,321.42,329.65,94255000,7.99,2.48,325.9075
TSLA,2025-07-21,334.4,338.0,326.88,328.49,75768800,-5.91,-1.77,331.9425
TSLA,2025-07-22,329.74,335.41,321.55,332.11,77370400,2.37,0.71875,329.7025
TSLA,2025-07-23,330.9,336.2,328.67,332.56,92553800,1.66,0.50166,332.0825
TSLA,2025-07-24,310.0,310.15,300.41,305.3,156966023,-4.7,-1.52,306.465
TSLA,2025-07-25,308.74,323.63,308.01,316.06,148227027,7.32,2.37,314.11
TSLA,2025-07-28,318.45,330.49,315.69,325.59,112673800,7.14,2.24,322.555
TSLA,2025-07-29,325.55,326.25,318.25,321.2,87358900,-4.35,-1.34,322.8125
TSLA,2025-07-30,322.18,324.45,311.62,319.04,83931942,-3.14,-0.97461,319.3225
TSLA,2025-07-31,319.61,321.37,306.1,308.27,85270919,-11.34,-3.55,313.8375
TSLA,2025-08-01,306.21,309.31,297.82,302.63,89121446,-3.57,-1.17,303.9925
TSLA,2025-08-04,309.08,312.12,303.0,309.26,78683905,0.18,0.05823735,308.365
TSLA,2025-08-05,308.95,312.45,305.5,308.72,57961300,-0.23,-0.0744457,308.905
TSLA,2025-08-06,307.89,320.47,306.93,319.91,78523600,12.02,3.9,313.8
TSLA,2025-08-07,319.79,322.4,316.16,322.27,66658700,2.48,0.77551,320.155
TSLA,2025-08-08,321.43,335.15,320.98,329.65,91200319,8.22,2.56,326.8025
TSLA,2025-08-11,335.0,346.64,334.15,339.03,105320200,4.03,1.2,338.705
