date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2020-01-02 00:00:00+00:00,160.62,160.73,158.33,158.78,22634546,152.1471089795,152.2513063521,149.9779091316,150.4041711105,22634546,0.0,1.0
2020-01-03 00:00:00+00:00,158.62,159.95,158.06,158.32,21121681,150.2526112958,151.5124522554,149.7221519443,149.9684366432,21121681,0.0,1.0
2020-01-06 00:00:00+00:00,159.03,159.1,156.51,157.08,20826702,150.6409833209,150.7072907399,148.2539162395,148.7938480793,20826702,0.0,1.0
2020-01-07 00:00:00+00:00,157.58,159.67,157.32,159.32,21881740,149.2674725002,151.2472225797,149.0211878014,150.9156854851,21881740,0.0,1.0
2020-01-08 00:00:00+00:00,160.09,160.8,157.95,158.93,27762026,151.6450670933,152.317613771,149.6179545717,150.5462584368,27762026,0.0,1.0
2020-01-09 00:00:00+00:00,162.09,162.22,161.03,161.84,21399951,153.539564777,153.6627071265,152.5354810047,153.3027525666,21399951,0.0,1.0
2020-01-10 00:00:00+00:00,161.34,163.22,161.18,162.82,20733946,152.8291281456,154.6099559683,152.6775683309,154.2310564316,20733946,0.0,1.0
2020-01-13 00:00:00+00:00,163.28,163.31,161.26,161.76,18666414,154.6667908988,154.6952083641,152.7533482383,153.2269726592,18666414,0.0,1.0
2020-01-14 00:00:00+00:00,162.13,163.6,161.72,163.39,23500783,153.5774547307,154.9699105282,153.1890827055,154.7709882714,23500783,0.0,1.0
2020-01-15 00:00:00+00:00,163.18,163.94,162.57,162.62,21417871,154.5720660147,155.2919751345,153.9942442211,154.0416066632,21417871,0.0,1.0
2020-01-16 00:00:00+00:00,166.17,166.24,164.03,164.35,23865360,157.4043400518,157.4706474707,155.3772275302,155.6803471596,23865360,0.0,1.0
2020-01-17 00:00:00+00:00,167.1,167.47,165.43,167.42,34371659,158.2852814747,158.6357635462,156.7033759088,158.5884011041,34371659,0.0,1.0
2020-01-21 00:00:00+00:00,166.5,168.19,166.43,166.68,29223486,157.7169321696,159.3177827124,157.6506247507,157.8874369612,29223486,0.0,1.0
2020-01-22 00:00:00+00:00,165.7,167.49,165.68,167.4,24138777,156.9591330961,158.6547085231,156.9401881193,158.5694561273,24138777,0.0,1.0
2020-01-23 00:00:00+00:00,166.72,166.8,165.27,166.19,19680766,157.9253269148,158.0011068222,156.5518160941,157.4232850287,19680766,0.0,1.0
2020-01-24 00:00:00+00:00,165.04,167.53,164.45,167.51,24918117,156.3339488605,158.6925984767,155.7750720438,158.6736534999,24918117,0.0,1.0
2020-01-27 00:00:00+00:00,162.28,163.38,160.2,161.15,32078067,153.719542057,154.761515783,151.7492644659,152.6491508657,32078067,0.0,1.0
2020-01-28 00:00:00+00:00,165.46,165.76,163.07,163.78,24899940,156.7317933741,157.0159680267,154.4678686421,155.1404153198,24899940,0.0,1.0
2020-01-29 00:00:00+00:00,168.04,168.75,165.69,167.84,35127771,159.1756953861,159.8482420638,156.9496606077,158.9862456177,35127771,0.0,1.0
2020-01-30 00:00:00+00:00,172.78,174.05,170.79,174.05,51597470,163.6656548965,164.8686609257,161.7806297012,164.8686609257,51597470,0.0,1.0
2020-01-31 00:00:00+00:00,170.23,172.4,169.58,172.21,36142690,161.2501703498,163.3057003366,160.6344586026,163.1257230566,36142690,0.0,1.0
2020-02-03 00:00:00+00:00,174.38,174.5,170.4,170.43,30149052,165.1812530435,165.2949229045,161.4112026529,161.4396201181,30149052,0.0,1.0
2020-02-04 00:00:00+00:00,180.12,180.64,176.31,177.14,36433339,170.6184613958,171.1110307935,167.0094433083,167.795659847,36433339,0.0,1.0
2020-02-05 00:00:00+00:00,179.9,184.2,178.41,184.03,39186324,170.4100666505,174.4832366705,168.9986658762,174.3222043674,39186324,0.0,1.0
2020-02-06 00:00:00+00:00,183.63,183.82,180.06,180.97,27751381,173.9433048307,174.1232821106,170.5616264652,171.4236229113,27751381,0.0,1.0
2020-02-07 00:00:00+00:00,183.89,185.63,182.48,182.85,33529074,174.1895895296,175.8378025144,172.8539686625,173.204450734,33529074,0.0,1.0
